run_id,round,phase,case_id,request_id,outcome,reason_code,t0_input_arrival_ns,t1_preprocess_end_ns,t2_packing_end_ns,t3_inference_start_ns,t4_inference_end_ns,t5_postprocess_end_ns,t6_adapter_end_ns,t7_plan_ready_ns,preprocess_ms,packing_ms,inference_setup_ms,model_inference_ms,postprocess_ms,adapter_ms,plan_validation_ms,pre_model_ms,post_model_ms,planner_e2e_ms,model_only_ms,planner_overhead_ms,missing_stages,stage_source,outcome_detail,model_id,model_sha256,config_id,dataset_version,git_sha,wall_time_utc
b3-20260918T100755Z-35051d77,0,warmup,model-only,modelonly-model-only-0000,READY,MODEL_ONLY,7734030897500,,,7734030898900,7734034697500,,,,,,,3.7986,,,,0.0014,,,3.7986,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.507135+00:00
b3-20260918T100755Z-35051d77,1,warmup,model-only,modelonly-model-only-0001,READY,MODEL_ONLY,7734034710900,,,7734034711700,7734038045700,,,,,,,3.334,,,,0.0008,,,3.334,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.507135+00:00
b3-20260918T100755Z-35051d77,2,warmup,model-only,modelonly-model-only-0002,READY,MODEL_ONLY,7734038068900,,,7734038069300,7734041402400,,,,,,,3.3331,,,,0.0004,,,3.3331,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.507135+00:00
b3-20260918T100755Z-35051d77,3,measured,model-only,modelonly-model-only-0003,READY,MODEL_ONLY,7734041425000,,,7734041425700,7734044219700,,,,,,,2.794,,,,0.0007,,,2.794,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
b3-20260918T100755Z-35051d77,4,measured,model-only,modelonly-model-only-0004,READY,MODEL_ONLY,7734044240200,,,7734044240700,7734047234400,,,,,,,2.9937,,,,0.0005,,,2.9937,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
b3-20260918T100755Z-35051d77,5,measured,model-only,modelonly-model-only-0005,READY,MODEL_ONLY,7734047257900,,,7734047258500,7734050298600,,,,,,,3.0401,,,,0.0006,,,3.0401,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
b3-20260918T100755Z-35051d77,6,measured,model-only,modelonly-model-only-0006,READY,MODEL_ONLY,7734050317000,,,7734050317500,7734053328500,,,,,,,3.011,,,,0.0005,,,3.011,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
b3-20260918T100755Z-35051d77,7,measured,model-only,modelonly-model-only-0007,READY,MODEL_ONLY,7734053340300,,,7734053340700,7734056469200,,,,,,,3.1285,,,,0.0004,,,3.1285,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
b3-20260918T100755Z-35051d77,8,measured,model-only,modelonly-model-only-0008,READY,MODEL_ONLY,7734056501700,,,7734056503100,7734059536400,,,,,,,3.0333,,,,0.0014,,,3.0333,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
b3-20260918T100755Z-35051d77,9,measured,model-only,modelonly-model-only-0009,READY,MODEL_ONLY,7734059562200,,,7734059562600,7734062821000,,,,,,,3.2584,,,,0.0004,,,3.2584,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
