run_id,round,sample_index,wall_time_utc,monotonic_ns,scope,rss_kib,peak_rss_kib,source,notes
b3-soak-20260918T100812Z-50ebf75e,0,0,2026-09-18T10:08:16.738572+00:00,7744576405900,planner_process,307268.0,311368.0,psutil,
b3-soak-20260918T100812Z-50ebf75e,0,1,2026-09-18T10:08:17.749682+00:00,7745586766700,planner_process,319968.0,321148.0,psutil,
b3-soak-20260918T100812Z-50ebf75e,0,2,2026-09-18T10:08:18.759412+00:00,7746596759500,planner_process,319972.0,321152.0,psutil,
b3-soak-20260918T100812Z-50ebf75e,0,3,2026-09-18T10:08:19.774720+00:00,7747612024800,planner_process,319972.0,321152.0,psutil,
b3-soak-20260918T100812Z-50ebf75e,0,4,2026-09-18T10:08:20.775669+00:00,7748612785300,planner_process,320180.0,321360.0,psutil,
b3-soak-20260918T100812Z-50ebf75e,0,5,2026-09-18T10:08:21.783333+00:00,7749620471900,planner_process,320216.0,321396.0,psutil,
b3-soak-20260918T100812Z-50ebf75e,0,6,2026-09-18T10:08:22.795718+00:00,7750633737200,planner_process,320252.0,321432.0,psutil,
b3-soak-20260918T100812Z-50ebf75e,0,7,2026-09-18T10:08:23.802589+00:00,7751640118700,planner_process,320292.0,321472.0,psutil,
b3-soak-20260918T100812Z-50ebf75e,0,8,2026-09-18T10:08:24.810902+00:00,7752648275900,planner_process,320328.0,321508.0,psutil,
b3-soak-20260918T100812Z-50ebf75e,0,9,2026-09-18T10:08:25.819100+00:00,7753656180300,planner_process,320364.0,321544.0,psutil,
b3-soak-20260918T100812Z-50ebf75e,0,10,2026-09-18T10:08:26.819577+00:00,7754657316300,planner_process,320404.0,321584.0,psutil,
b3-soak-20260918T100812Z-50ebf75e,0,11,2026-09-18T10:08:27.848379+00:00,7755685474400,planner_process,320440.0,321620.0,psutil,
b3-soak-20260918T100812Z-50ebf75e,0,12,2026-09-18T10:08:28.851251+00:00,7756688905900,planner_process,320476.0,321656.0,psutil,
b3-soak-20260918T100812Z-50ebf75e,0,13,2026-09-18T10:08:29.875663+00:00,7757713429800,planner_process,320508.0,321688.0,psutil,
b3-soak-20260918T100812Z-50ebf75e,0,14,2026-09-18T10:08:30.888906+00:00,7758726744000,planner_process,320544.0,321724.0,psutil,
b3-soak-20260918T100812Z-50ebf75e,0,15,2026-09-18T10:08:31.744781+00:00,7759582568800,planner_process,320572.0,321756.0,psutil,
