Node,NodeType,ON,Output Data Type
/model/vision_encoder/features/features.0/Conv,Conv,BPU,si8
/model/vision_encoder/features/features.1/Relu,Relu,BPU,si8
/model/vision_encoder/features/features.2/Conv,Conv,BPU,si8
/model/vision_encoder/features/features.3/Relu,Relu,BPU,si8
/model/vision_encoder/features/features.4/Conv,Conv,BPU,si8
/model/vision_encoder/features/features.5/Relu,Relu,BPU,si8
/model/vision_encoder/features/features.6/Conv,Conv,BPU,si8
/model/vision_encoder/features/features.7/Relu,Relu,BPU,si8
/model/vision_encoder/features/features.8/Conv,Conv,BPU,si8
/model/vision_encoder/features/features.9/Relu,Relu,BPU,si8
/model/vision_encoder/pool/AveragePool,AveragePool,BPU,si8
/model/vision_encoder/projection/Gemm_transpose_in_reshape,Reshape,BPU,si8
/model/vision_encoder/projection/Gemm,Conv,BPU,si8
/model/vision_encoder/activation/Relu,Relu,BPU,si8
/model/text_encoder/layers/layers.0/Gemm_transpose_in_reshape,Reshape,BPU,si8
/model/text_encoder/layers/layers.0/Gemm,Conv,BPU,si8
/model/text_encoder/layers/layers.1/Relu,Relu,BPU,si8
/model/text_encoder/layers/layers.2/Gemm,Conv,BPU,si8
/model/text_encoder/layers/layers.3/Relu,Relu,BPU,si8
/model/target_encoder/layers/layers.0/Gemm_transpose_in_reshape,Reshape,BPU,si8
/model/target_encoder/layers/layers.0/Gemm,Conv,BPU,si8
/model/target_encoder/layers/layers.1/Relu,Relu,BPU,si8
/model/target_encoder/layers/layers.2/Gemm,Conv,BPU,si8
/model/target_encoder/layers/layers.3/Relu,Relu,BPU,si8
/model/state_encoder/layers/layers.0/Gemm_transpose_in_reshape,Reshape,BPU,si8
/model/state_encoder/layers/layers.0/Gemm,Conv,BPU,si8
/model/state_encoder/layers/layers.1/Relu,Relu,BPU,si8
/model/state_encoder/layers/layers.2/Gemm,Conv,BPU,si8
/model/state_encoder/layers/layers.3/Relu,Relu,BPU,si8
/model/Concat,Concat,BPU,si8
/model/fusion/fusion.0/Gemm,Conv,BPU,si8
/model/fusion/fusion.1/Relu,Relu,BPU,si8
/model/fusion/fusion.2/Gemm,Conv,BPU,si8
/model/fusion/fusion.3/Relu,Relu,BPU,si8
/model/fusion/fusion.4/Gemm,Conv,BPU,si8
/model/fusion/fusion.5/Relu,Relu,BPU,si8
/model/plan_length_head/Gemm,Conv,BPU,f32
/model/plan_length_head/Gemm_reshape_output,Reshape,BPU,f32
/model/behavior_head/Gemm,Conv,BPU,f32
/model/Reshape,Reshape,BPU,f32
/model/target_pointer_head/Gemm,Conv,BPU,f32
/model/Reshape_1,Reshape,BPU,f32
/model/target_lane_head/Gemm,Conv,BPU,f32
/model/Reshape_2,Reshape,BPU,f32
/model/target_speed_head/Gemm,Conv,BPU,si8
/model/Sigmoid,Sigmoid,BPU,fused
/model/Mul,Mul,BPU,si16
/model/Mul_target_speed_mps_Reshape,Reshape,BPU,si16,f32
/model/completion_head/Gemm,Conv,BPU,f32
/model/Reshape_4,Reshape,BPU,f32
/model/failure_head/Gemm,Conv,BPU,f32
/model/Reshape_5,Reshape,BPU,f32
/model/confidence_head/Gemm,Conv,BPU,si16
/model/Sigmoid_1,Sigmoid,BPU,fused
/model/Sigmoid_1_confidence_Reshape,Reshape,BPU,si16,f32
/model/confirmation_head/Gemm,Conv,BPU,fused
/model/confirmation_head/Gemm_reshape_output,Reshape,BPU,f32
/model/replan_head/Gemm,Conv,BPU,f32
/model/replan_head/Gemm_reshape_output,Reshape,BPU,f32
