Node,NodeType,ON,Threshold,Calibrated Cosine,Quantized Cosine,Output Data Type
/model/vision_encoder/features/features.0/Conv,Conv,BPU,2.587713,1.000042,0.999957,si8
/model/vision_encoder/features/features.1/Relu,Relu,BPU,fused,0.999988,0.999957,si8
/model/vision_encoder/features/features.2/Conv,Conv,BPU,9.422052,0.999928,0.999858,si8
/model/vision_encoder/features/features.3/Relu,Relu,BPU,fused,0.999867,0.999858,si8
/model/vision_encoder/features/features.4/Conv,Conv,BPU,7.794481,0.999822,0.999783,si8
/model/vision_encoder/features/features.5/Relu,Relu,BPU,fused,0.999782,0.999783,si8
/model/vision_encoder/features/features.6/Conv,Conv,BPU,9.896996,0.999745,0.999666,si8
/model/vision_encoder/features/features.7/Relu,Relu,BPU,fused,0.999663,0.999666,si8
/model/vision_encoder/features/features.8/Conv,Conv,BPU,9.933083,0.999602,0.999588,si8
/model/vision_encoder/features/features.9/Relu,Relu,BPU,fused,0.999592,0.999588,si8
/model/vision_encoder/pool/AveragePool,AveragePool,BPU,7.466365,0.999738,0.999755,si8
/model/vision_encoder/projection/Gemm_transpose_in_reshape,Reshape,BPU,7.466365,0.999738,0.999755,si8
/model/vision_encoder/projection/Gemm,Conv,BPU,7.466365,0.999699,0.999702,si8
/model/vision_encoder/activation/Relu,Relu,BPU,fused,0.999698,0.999702,si8
/model/text_encoder/layers/layers.0/Gemm_transpose_in_reshape,Reshape,BPU,0.996292,0.999982,0.999982,si8
/model/text_encoder/layers/layers.0/Gemm,Conv,BPU,0.996292,0.999974,0.999956,si8
/model/text_encoder/layers/layers.1/Relu,Relu,BPU,fused,0.999956,0.999956,si8
/model/text_encoder/layers/layers.2/Gemm,Conv,BPU,0.34664,0.999951,0.982171,si8
/model/text_encoder/layers/layers.3/Relu,Relu,BPU,fused,0.982171,0.982171,si8
/model/target_encoder/layers/layers.0/Gemm_transpose_in_reshape,Reshape,BPU,1.0,0.999999,0.999999,si8
/model/target_encoder/layers/layers.0/Gemm,Conv,BPU,1.0,0.999991,0.999964,si8
/model/target_encoder/layers/layers.1/Relu,Relu,BPU,fused,0.999964,0.999964,si8
/model/target_encoder/layers/layers.2/Gemm,Conv,BPU,0.506596,0.999953,0.990155,si8
/model/target_encoder/layers/layers.3/Relu,Relu,BPU,fused,0.990155,0.990155,si8
/model/state_encoder/layers/layers.0/Gemm_transpose_in_reshape,Reshape,BPU,1.0,0.999998,0.999998,si8
/model/state_encoder/layers/layers.0/Gemm,Conv,BPU,1.0,0.999991,0.999942,si8
/model/state_encoder/layers/layers.1/Relu,Relu,BPU,fused,0.999942,0.999942,si8
/model/state_encoder/layers/layers.2/Gemm,Conv,BPU,0.772081,0.999938,0.993182,si8
/model/state_encoder/layers/layers.3/Relu,Relu,BPU,fused,0.993182,0.993182,si8
/model/Concat,Concat,BPU,6.366635,0.999605,0.999609,si8
/model/fusion/fusion.0/Gemm,Conv,BPU,6.366635,0.999602,0.999585,si8
/model/fusion/fusion.1/Relu,Relu,BPU,fused,0.999574,0.999585,si8
/model/fusion/fusion.2/Gemm,Conv,BPU,2.100155,0.999588,0.999533,si8
/model/fusion/fusion.3/Relu,Relu,BPU,fused,0.999548,0.999533,si8
/model/fusion/fusion.4/Gemm,Conv,BPU,1.424033,0.999482,0.999484,si8
/model/fusion/fusion.5/Relu,Relu,BPU,fused,0.999467,0.999484,si8
/model/plan_length_head/Gemm,Conv,BPU,1.140014,0.999571,0.999214,f32
/model/plan_length_head/Gemm_reshape_output,Reshape,BPU,fused,0.999571,0.999214,f32
/model/behavior_head/Gemm,Conv,BPU,1.140014,0.999350,0.999411,f32
/model/Reshape,Reshape,BPU,fused,0.999350,0.999411,f32
/model/target_pointer_head/Gemm,Conv,BPU,1.140014,0.999108,0.999117,f32
/model/Reshape_1,Reshape,BPU,fused,0.999108,0.999117,f32
/model/target_lane_head/Gemm,Conv,BPU,1.140014,0.998993,0.999193,f32
/model/Reshape_2,Reshape,BPU,fused,0.998993,0.999193,f32
/model/target_speed_head/Gemm,Conv,BPU,1.140014,0.999687,0.998851,si8
/model/Sigmoid,Sigmoid,BPU,5.49897,0.999992,fused,fused
/model/Mul,Mul,BPU,0.995926,0.999995,0.999950,si16
/model/Mul_target_speed_mps_Reshape,Reshape,BPU,30.82519,0.999995,0.999950,si16,f32
/model/completion_head/Gemm,Conv,BPU,1.140014,0.999491,0.999689,f32
/model/Reshape_4,Reshape,BPU,fused,0.999491,0.999689,f32
/model/failure_head/Gemm,Conv,BPU,1.140014,0.999415,0.999693,f32
/model/Reshape_5,Reshape,BPU,fused,0.999415,0.999693,f32
/model/confidence_head/Gemm,Conv,BPU,1.140014,1.000000,1.000000,si16
/model/Sigmoid_1,Sigmoid,BPU,11.09031,1.000000,1.000000,fused
/model/Sigmoid_1_confidence_Reshape,Reshape,BPU,0.999985,1.000000,1.000000,si16,f32
/model/confirmation_head/Gemm,Conv,BPU,1.140014,1.000000,fused,fused
/model/confirmation_head/Gemm_reshape_output,Reshape,BPU,fused,1.000000,1.000000,f32
/model/replan_head/Gemm,Conv,BPU,1.140014,0.999751,0.999154,f32
/model/replan_head/Gemm_reshape_output,Reshape,BPU,fused,0.999751,0.999154,f32
